Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Public Function,"AutoComplete::SetSeparator",AutoComplete.cxx,3,1,
Public Function,"AutoComplete::SetStopChars",AutoComplete.cxx,3,1,
Public Function,"AutoComplete::SetTypesep",AutoComplete.cxx,3,1,
Public Function,"AutoComplete::Show",AutoComplete.cxx,5,2,
Public Function,"AutoComplete::Start",AutoComplete.cxx,12,2,
Public Function,"AutoComplete::~AutoComplete",AutoComplete.cxx,7,2,
Class,"AutoCompletion",AutoCompletion.h,573,,137
File,"AutoCompletion.cpp",AutoCompletion.cpp,702,,170
File,"AutoCompletion.h",AutoCompletion.h,52,,6
Explicit Public Function,"AutoCompletion::AutoCompletion",AutoCompletion.h,3,1,
Public Function,"AutoCompletion::callTipClick",AutoCompletion.cpp,9,4,
Private Function,"AutoCompletion::getApiFileName",AutoCompletion.cpp,18,6,
Public Function,"AutoCompletion::getCloseTag",AutoCompletion.cpp,54,14,
Public Function,"AutoCompletion::getWordArray",AutoCompletion.cpp,28,5,
Public Function,"AutoCompletion::insertMatchedChars",AutoCompletion.cpp,154,38,
Public Function,"AutoCompletion::setLanguage",AutoCompletion.cpp,99,23,
Public Function,"AutoCompletion::showApiAndWordComplete",AutoCompletion.cpp,40,10,
Public Function,"AutoCompletion::showApiComplete",AutoCompletion.cpp,16,5,
Public Function,"AutoCompletion::showFunctionComplete",AutoCompletion.cpp,10,3,
Public Function,"AutoCompletion::showPathCompletion",AutoCompletion.cpp,48,8,
Public Function,"AutoCompletion::showWordComplete",AutoCompletion.cpp,34,8,
Public Function,"AutoCompletion::update",AutoCompletion.cpp,29,10,
Public Function,"AutoCompletion::~AutoCompletion",AutoCompletion.h,4,2,
Class,"AutoCompletionDlg",preferenceDlg.h,256,,64
Public Function,"AutoCompletionDlg::AutoCompletionDlg",preferenceDlg.h,1,1,
Private Virtual Function,"AutoCompletionDlg::run_dlgProc",preferenceDlg.cpp,248,63,
Class,"AutoLineLayout",EditView.h,21,,5
Public Function,"AutoLineLayout::AutoLineLayout",EditView.h,1,1,
Public Function,"AutoLineLayout::Set",EditView.h,4,1,
Public Const Function,"AutoLineLayout::operator LineLayout *",EditView.h,3,1,
Public Const Function,"AutoLineLayout::operator->",EditView.h,3,1,
Public Function,"AutoLineLayout::~AutoLineLayout",EditView.h,4,1,
Class,"AutoSurface",Editor.h,34,,11
